movie_id,title,genres,description
1,The Matrix,Action Sci-Fi,"A computer hacker learns about the true nature of his reality and his role in the war against its controllers."
2,The Matrix Reloaded,Action Sci-Fi,"Neo and his allies race against time before the machines discover the city of Zion."
3,John Wick,Action Thriller,"An ex-hitman comes out of retirement to track down the gangsters that killed his dog."
4,Mad Max: Fury Road,Action Adventure,"In a post-apocalyptic wasteland, Max teams up with a mysterious woman to flee a warlord."
5,Inception,Sci-Fi Thriller,"A thief who steals corporate secrets through dream-sharing technology is given an inverse task of planting an idea."
6,Interstellar,Sci-Fi Drama,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
7,The Dark Knight,Action Crime,"Batman faces the Joker, a criminal mastermind who plunges Gotham into chaos."
8,The Avengers,Action Superhero,"Earth's mightiest heroes must come together to stop Loki and his alien army."
9,Iron Man,Action Superhero,"A billionaire industrialist builds a high-tech suit of armor to fight evil."
10,Guardians of the Galaxy,Action Comedy,"A group of intergalactic criminals must pull together to stop a fanatical warrior."
11,Spider-Man: No Way Home,Action Superhero,"Spider-Man seeks help to fix a fractured multiverse caused by a dangerous spell gone wrong."
12,Doctor Strange,Action Fantasy,"A former neurosurgeon discovers mystical powers to protect the world from magical threats."
13,Avatar,Sci-Fi Adventure,"A paraplegic marine becomes part of an alien world and must choose between his duty and his new home."
14,Titanic,Romance Drama,"A rich girl and a poor artist fall in love aboard the doomed RMS Titanic."
15,Shutter Island,Thriller Mystery,"A U.S. marshal investigates a psychiatric facility only to uncover shocking truths about himself."
16,The Lion King,Animation Drama,"A young lion prince flees his kingdom only to learn the meaning of responsibility and bravery."
17,Finding Nemo,Animation Adventure,"A clownfish searches the ocean to rescue his kidnapped son."
18,Toy Story,Animation Family,"Toys come to life when humans are away and struggle with jealousy and rivalry."
19,Joker,Drama Crime,"A mentally troubled comedian descends into madness and becomes the criminal mastermind Joker."
20,The Shawshank Redemption,Drama,"A banker sentenced for murder bonds with another inmate and finds meaning and hope in prison."
21,Forrest Gump,Drama Romance,"A kind-hearted man with a low IQ lives through major historical events with innocence and luck."
22,Gladiator,Action Drama,"A betrayed Roman general seeks revenge against the corrupt emperor who killed his family."
23,The Terminator,Sci-Fi Action,"A cyborg assassin travels back in time to kill a woman whose unborn child will save humanity."
24,Terminator 2: Judgment Day,Sci-Fi Action,"A reprogrammed cyborg protects the boy who will one day lead the resistance."
25,The Godfather,Crime Drama,"The aging patriarch of a crime dynasty transfers control to his reluctant son."
26,The Godfather Part II,Crime Drama,"The story continues with Michael Corleone expanding the family business while flashbacks follow his father's rise."
27,Star Wars: A New Hope,Sci-Fi Adventure,"A farm boy joins a galactic rebellion to destroy a deadly space station weapon."
28,Star Wars: The Empire Strikes Back,Sci-Fi Adventure,"The rebellion suffers a devastating defeat as Luke learns shocking truths about his past."
29,The Lord of the Rings: The Fellowship of the Ring,Fantasy Adventure,"A young hobbit begins a journey to destroy a powerful ring that threatens Middle-earth."
30,The Lord of the Rings: The Return of the King,Fantasy Adventure,"The final battle for Middle-earth unfolds as Frodo reaches Mount Doom to destroy the ring."
31,The Hobbit: An Unexpected Journey,Fantasy Adventure,"A hobbit joins a group of dwarves on a quest to reclaim their homeland from a dragon."
32,Pirates of the Caribbean: The Curse of the Black Pearl,Action Adventure,"A blacksmith and a pirate captain set out to rescue the governor's daughter from cursed pirates."
33,Black Panther,Action Superhero,"The king of Wakanda must defend his nation from a powerful enemy seeking the throne."
34,Deadpool,Action Comedy,"A mercenary with healing powers seeks revenge while breaking the fourth wall."
35,Thor: Ragnarok,Action Fantasy,"Thor escapes a dangerous planet and fights to stop the destruction of Asgard."
36,Captain America: Civil War,Action Superhero,"The Avengers split into rival factions over government control."
37,Wonder Woman,Action Fantasy,"An Amazonian warrior princess ventures to the human world during World War I."
38,Aquaman,Action Fantasy,"A half-human, half-Atlantean prince must reclaim his underwater kingdom."
39,Man of Steel,Action Superhero,"An alien child raised on Earth becomes humanity's protector."
40,Batman v Superman: Dawn of Justice,Action Superhero,"Batman confronts Superman as a new threat looms."

41,The Prestige,Thriller Drama,"Two rival magicians engage in a dangerous competition of illusions."
42,The Social Network,Drama Biography,"The creation of Facebook sparks a lawsuit and personal conflicts."
43,The Wolf of Wall Street,Comedy Crime,"A stockbroker rises to wealth through corruption and fraud."
44,Django Unchained,Western Action,"A freed slave teams up with a bounty hunter to rescue his wife."
45,Pulp Fiction,Crime Thriller,"Interlinked stories revolve around crime and redemption in Los Angeles."
46,Inglourious Basterds,War Action,"A group of Jewish soldiers plans to assassinate Nazi leaders."
47,Fight Club,Drama Thriller,"An office worker creates a secret fight club to escape modern life."
48,Se7en,Crime Thriller,"Two detectives hunt a serial killer who uses the seven deadly sins."
49,The Silence of the Lambs,Thriller Crime,"A young FBI agent seeks help from a brilliant cannibal to catch a killer."
50,American Psycho,Crime Thriller,"A wealthy New York banker hides a violent alter ego."

51,Harry Potter and the Philosopher's Stone,Fantasy Adventure,"A boy discovers he is a wizard and attends a magical school."
52,Harry Potter and the Deathly Hallows: Part 2,Fantasy Adventure,"The final battle between Harry and Voldemort unfolds at Hogwarts."
53,Fantastic Beasts and Where to Find Them,Fantasy Adventure,"A magic zoologist arrives in New York and unleashes magical creatures."
54,The Hunger Games,Sci-Fi Adventure,"A girl volunteers in a brutal survival competition broadcast nationwide."
55,The Maze Runner,Sci-Fi Mystery,"A group of teens trapped in a maze must find a way out."
56,Divergent,Sci-Fi Adventure,"A girl who doesn't fit into her society's factions becomes a threat."
57,Ready Player One,Sci-Fi Adventure,"Gamers compete in a virtual world for control of a powerful company."
58,RoboCop,Sci-Fi Action,"A wounded cop becomes a powerful cyborg law enforcer."
59,Pacific Rim,Sci-Fi Action,"Humanity fights giant monsters using massive robot suits."
60,Edge of Tomorrow,Sci-Fi Action,"A soldier relives a deadly battle repeatedly to change the future."

61,Jumanji: Welcome to the Jungle,Adventure Comedy,"Players get trapped inside a dangerous video game."
62,Jurassic Park,Sci-Fi Adventure,"A theme park with cloned dinosaurs faces disaster."
63,Jurassic World,Sci-Fi Adventure,"A new dinosaur attraction escapes and wreaks havoc."
64,King Kong,Adventure Fantasy,"A giant ape is captured and taken to New York City."
65,Godzilla,Sci-Fi Action,"A massive creature awakens to restore balance to the world."
66,Transformers,Action Sci-Fi,"Alien robots wage war on Earth while disguising themselves as vehicles."
67,Mission: Impossible – Fallout,Action Thriller,"A mission gone wrong forces Ethan Hunt to prevent global catastrophe."
68,Fast & Furious 7,Action Crime,"A skilled driver seeks revenge while protecting his family from danger."
69,Top Gun: Maverick,Action Drama,"A legendary pilot trains the next generation for a high-risk mission."
70,The Bourne Identity,Action Thriller,"A man with amnesia discovers his past as a trained assassin."
71,The Big Lebowski,Comedy Crime,"A laid-back bowler gets entangled in a kidnapping case."
72,Anchorman: The Legend of Ron Burgundy,Comedy,"A 1970s news anchor navigates changing times in the newsroom."
73,Superbad,Comedy,"Two high school friends try to make the most of their last days before graduation."
74,Step Brothers,Comedy,"Two middle-aged    men become stepbrothers and clash under one roof."
71,The Bourne Supremacy,Action Thriller,"Jason Bourne is framed for a crime and must uncover the conspiracy."
72,The Bourne Ultimatum,Action Thriller,"Bourne digs deeper into his past while the CIA hunts him."
73,The Equalizer,Action Action,"A mysterious man protects the helpless using lethal skills."
74,The Revenant,Adventure Drama,"A frontiersman fights for survival and revenge after being left for dead."
75,Cast Away,Drama Adventure,"A FedEx worker survives on a remote island after a plane crash."
76,The Martian,Sci-Fi Adventure,"An astronaut stranded on Mars must survive until rescue."
77,Gravity,Sci-Fi Thriller,"Astronauts struggle to survive after space debris destroys their shuttle."
78,Arrival,Sci-Fi Drama,"A linguist communicates with aliens to prevent global war."
79,Her,Romance Sci-Fi,"A lonely writer falls in love with an intelligent AI assistant."
80,Ex Machina,Sci-Fi Thriller,"A programmer tests the intelligence of a humanoid robot."

81,The Conjuring,Horror Mystery,"A family seeks help from paranormal investigators when haunted by a dark force."
82,Insidious,Horror Thriller,"A couple discovers their son is trapped in a supernatural realm."
83,It,Horror Thriller,"A terrifying clown preys on children in a small town."
84,A Quiet Place,Horror Sci-Fi,"A family survives in silence to avoid deadly sound-sensitive creatures."
85,Get Out,Horror Thriller,"A man uncovers disturbing secrets while visiting his girlfriend's family."
86,Split,Thriller Horror,"A man with multiple personalities kidnaps three girls."
87,The Nun,Horror Mystery,"A priest investigates a demonic force in an isolated abbey."
88,Annabelle,Horror Thriller,"A possessed doll terrorizes a family."
89,Saw,Horror Mystery,"Two men awaken chained in a room with a disturbing task."
90,The Ring,Horror Mystery,"A journalist investigates a cursed videotape that kills within seven days."

91,Toy Story 2,Animation Family,"Woody is kidnapped by a toy collector and must escape."
92,Inside Out,Animation Family,"A young girl's emotions struggle during a major life change."
93,Up,Animation Adventure,"An old man ties balloons to his house for one last adventure."
94,Monsters Inc,Animation Family,"Monsters generate power by scaring kids — until a human enters their world."
95,Coco,Animation Music,"A boy travels to the Land of the Dead to discover his family history."
96,Zootopia,Animation Comedy,"A rabbit cop teams up with a fox to uncover a conspiracy."
97,Big Hero 6,Animation Action,"A boy and his robot join a team to fight a mysterious villain."
98,Frozen,Animation Musical,"A princess sets out to find her sister whose powers created eternal winter."
99,Moana,Animation Adventure,"A young voyager sets sail across the ocean to save her people."
100,Klaus,Animation Family,"A postman befriends a mysterious toy-maker in a cold town."

101,La La Land,Drama Romance,"A jazz musician and an actress fall in love while pursuing dreams."
102,The Notebook,Romance Drama,"A young couple’s love story unfolds across decades."
103,Me Before You,Romance Drama,"A cheerful caregiver bonds with a man who has lost hope."
104,500 Days of Summer,Romantic Comedy,"A man reflects on a failed relationship in a non-linear story."
105,Pride and Prejudice,Romance Drama,"Love overcomes status and pride in 19th-century England."
106,The Fault in Our Stars,Romance Drama,"Two teens with illnesses fall in love."
107,About Time,Romance Fantasy,"A man discovers he can time travel to fix his love life."
108,Crazy Rich Asians,Romantic Comedy,"A woman discovers her boyfriend belongs to a wealthy family."
109,Love Actually,Romantic Comedy,"Multiple love stories connect during Christmas."
110,The Vow,Romance Drama,"A husband helps his wife remember their love after she loses memory."

111,Rocky,Sports Drama,"A small-time boxer gets a shot at the heavyweight championship."
112,Creed,Sports Drama,"The son of Apollo Creed trains under Rocky Balboa."
113,Rush,Sports Biography,"The intense rivalry between two Formula One drivers unfolds."
114,Ford v Ferrari,Sports Drama,"Engineers race to defeat Ferrari with a revolutionary car."
115,Moneyball,Sports Drama,"A baseball manager revolutionizes the game using statistics."
116,The Karate Kid,Family Sports,"A mentor teaches a bullied boy karate and confidence."
117,Coach Carter,Sports Drama,"A basketball coach focuses on academics and discipline."
118,Hustle,Sports Drama,"A scout finds a talented player overseas and fights to prove him."
119,Space Jam,Family Comedy,"Basketball star Michael Jordan teams up with Looney Tunes characters."
120,Bend It Like Beckham,Romantic Sports,"A girl pursues football dreams against cultural expectations."

121,The Truman Show,Drama Sci-Fi,"A man discovers his entire life is a televised reality show."
122,The Green Mile,Drama Fantasy,"A prison guard encounters a man with miraculous healing abilities."
123,Life of Pi,Adventure Drama,"A boy survives at sea with a Bengal tiger."
124,Slumdog Millionaire,Drama Romance,"A poor boy surprises everyone by winning a game show."
125,127 Hours,Adventure Drama,"A climber trapped by a boulder fights to survive."
126,Hacksaw Ridge,War Biography,"A pacifist medic becomes a hero during WWII."
127,Bridge of Spies,Historical Drama,"A lawyer negotiates the exchange of Cold War prisoners."
128,The Imitation Game,Biography Drama,"Alan Turing helps break Nazi codes during WWII."
129,Hidden Figures,Biography Drama,"Black female mathematicians help NASA reach space."
130,The King's Speech,Biography Drama,"A king struggles to overcome his stutter during wartime."

131,Blade Runner 2049,Sci-Fi Thriller,"A young replicant uncovers secrets that change society."
132,Minority Report,Sci-Fi Thriller,"Crime is stopped using future predictions — until a cop is accused."
133,Looper,Sci-Fi Action,"A hitman faces his older self from the future."
134,District 9,Sci-Fi Action,"Aliens forced into slums create social tension."
135,Snowpiercer,Sci-Fi Action,"Humanity survives on a train with strict class systems."
136,Elysium,Sci-Fi Action,"The wealthy live on a perfect satellite while Earth suffers."
137,I Am Legend,Sci-Fi Thriller,"A survivor searches for a cure after a virus wipes out humanity."
138,War for the Planet of the Apes,Sci-Fi Action,"Apes and humans face their final war."
139,Ready or Not,Thriller Horror,"A bride must survive a deadly hunting ritual from her new family."
140,Knives Out,Comedy Mystery,"Detectives investigate a family murder with twists and humor."

141,Ocean's Eleven,Crime Comedy,"A group of criminals attempts a massive casino heist."
142,Now You See Me,Thriller Crime,"Magicians use illusions to pull off robberies."
143,Baby Driver,Action Crime,"A getaway driver wants to escape crime but is forced into one last job."
144,Heat,Crime Thriller,"A master thief and a determined detective face off."
145,Collateral,Crime Thriller,"A taxi driver becomes trapped helping a contract killer."
146,John Wick Chapter 2,Action Thriller,"Wick is forced back into the criminal underworld."
147,John Wick Chapter 3: Parabellum,Action Thriller,"With a global bounty on his head, Wick fights assassins everywhere."
148,Tenet,Action Sci-Fi,"A secret agent uses time inversion to prevent global destruction."
149,No Time to Die,Action Spy,"James Bond comes out of retirement for one last mission."
150,Skyfall,Action Spy,"Bond investigates an attack on MI6 linked to his past."

151,Spectre,Action Spy,"Bond uncovers a secret global criminal organization."
152,Casino Royale,Action Spy,"A rookie Bond faces his first dangerous mission."
153,Quantum of Solace,Action Spy,"Bond unravels a conspiracy controlling global water supply."
154,Atomic Blonde,Action Spy,"A spy navigates treacherous alliances during the Cold War."
155,Taken,Action Thriller,"A retired agent must rescue his kidnapped daughter."
156,The Pursuit of Happyness,Drama Biography,"A struggling father works to build a better life for his son."
157,The Curious Case of Benjamin Button,Drama Fantasy,"A man is born old and ages backward while discovering love."
158,The Grand Budapest Hotel,Comedy Crime,"A concierge and lobby boy become involved in a murder mystery."
159,The Big Short,Drama Biography,"Investors predict the 2008 recession and profit from the collapse."
160,Don't Look Up,Comedy Sci-Fi,"Scientists warn about a comet threatening Earth — but no one listens."

161,Intermission,Comedy Crime,"Intertwining stories of love, crime, and chaos unfold in Dublin."
162,The Last Samurai,Drama War,"An American soldier becomes part of a samurai rebellion."
163,Pearl Harbor,War Romance,"Love and war collide during the attack on Pearl Harbor."
164,Troy,Historical Action,"The Trojan War unfolds as warriors clash for honor and love."
165,Braveheart,Historical War,"A Scottish warrior leads revolt against English rule."
166,The Hateful Eight,Western Drama,"Strangers trapped in a lodge hide deadly secrets."
167,Open Range,Western Action,"Cattle grazers defend their rights against corrupt power."
168,Dune,Sci-Fi Epic,"A gifted young man must protect his family and a precious resource."
169,Dune Part Two,Sci-Fi Epic,"War intensifies as houses battle for dominance and survival."
170,Oppenheimer,Historical Drama,"The story of the man behind the nuclear bomb and its consequences."
171,The Polar Express,Animation Fantasy,"A skeptical boy takes a magical train ride to the North Pole."
172,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,Fantasy Adventure,"Four children discover a magical world and fight an evil witch."
173,The Shape of Water,Fantasy Romance,"A mute woman forms a bond with a mysterious sea creature."
174,Pan's Labyrinth,Fantasy Drama,"A young girl escapes into a dark fantasy world during wartime."
175,Coraline,Animation Fantasy,"A girl finds a parallel world that hides sinister secrets."
176,Spirited Away,Animation Fantasy,"A girl enters a spirit world where she must work to free her parents."
177,Howl's Moving Castle,Animation Fantasy,"A young woman cursed with old age seeks help from a wizard."
178,Princess Mononoke,Animation Fantasy,"A warrior caught between humans and forest spirits must restore balance."
179,My Neighbor Totoro,Animation Fantasy,"Two sisters befriend magical spirits in rural Japan."
180,Kiki's Delivery Service,Animation Family,"A young witch moves to a new town and learns independence."

181,The Iron Giant,Animation Sci-Fi,"A boy befriends a giant robot sent from space."
182,WALL-E,Animation Sci-Fi,"A lonely robot cleans Earth while falling in love with another robot."
183,Ratatouille,Animation Family,"A rat dreams of becoming a chef in Paris."
184,Shrek,Animation Comedy,"An ogre’s world is turned upside down when fairytale creatures invade his swamp."
185,Shrek 2,Animation Comedy,"Shrek meets Fiona’s parents and faces unexpected chaos."
186,Despicable Me,Animation Comedy,"A villain adopts three girls while planning a major heist."
187,Kung Fu Panda,Animation Action,"A clumsy panda becomes an unlikely martial arts hero."
188,The Croods,Animation Adventure,"A prehistoric family discovers a changing world outside their cave."
189,The Bad Guys,Animation Comedy,"A criminal animal crew tries to become good."
190,Secret Life of Pets,Animation Comedy,"Pets take adventures when their owners are away."

191,The Pianist,Drama Biography,"A Polish Jewish musician struggles to survive WWII."
192,American Sniper,War Biography,"A Navy SEAL sniper faces the moral cost of war."
193,Black Hawk Down,War Action,"Soldiers fight for survival after a mission goes wrong."
194,1917,War Drama,"Two soldiers race against time to deliver a lifesaving message."
195,Fury,War Action,"A tank crew fights against overwhelming odds in WWII."
196,Zero Dark Thirty,War Thriller,"The hunt for Osama Bin Laden unfolds over a decade."
197,Enemy at the Gates,War Action,"Two snipers battle during the Battle of Stalingrad."
198,Midway,War Action,"American pilots fight a turning-point WWII naval battle."
199,Unbroken,Biography War,"An Olympic athlete survives a plane crash and imprisonment."
200,The Hurt Locker,War Thriller,"A bomb disposal expert struggles psychologically in Iraq."

201,The Departed,Crime Thriller,"An undercover cop and a mole spy on each other in a criminal world."
202,American Gangster,Crime Biography,"A heroin kingpin rises to power before being brought down."
203,Goodfellas,Crime Drama,"A young man rises within the mafia before everything falls apart."
204,Scarface,Crime Drama,"A Cuban immigrant builds a violent drug empire."
205,Casino,Crime Drama,"A casino operator battles corruption and betrayal."
206,The Irishman,Crime Biography,"A hitman recalls his involvement with the mob."
207,Donnie Brasco,Crime Drama,"An FBI agent infiltrates the mafia and forms an unexpected bond."
208,Blow,Crime Biography,"A young man builds a drug empire distributing cocaine."
209,Public Enemies,Crime Biography,"Famous bank robber John Dillinger defies law enforcement."
210,The Town,Crime Thriller,"A bank robber falls for a hostage while planning another heist."

211,Lucy,Action Sci-Fi,"A woman gains extraordinary abilities after a drug leaks into her bloodstream."
212,Oblivion,Sci-Fi Mystery,"A drone repairman questions his identity while discovering hidden truths."
213,The Adjustment Bureau,Sci-Fi Romance,"A politician fights a mysterious force controlling fate."
214,Passengers,Sci-Fi Romance,"Two passengers awake early from hibernation on a spaceship."
